experiment,change,n_folds,auc_mean,auc_std,sens_mean,spec_mean,pooled_oof_auc,delta_auc_vs_baseline,folds_better_than_baseline
baseline,"DenseNet121, 224px, augmentation, class weights",5,0.9330927854379819,0.024610720587496932,0.8247272176683941,0.8894962935991717,0.9235493013773557,0.0,
no_aug,augmentation OFF,5,0.8978848519978161,0.0636356905877159,0.7390243566714154,0.9243443228899444,0.9003033165929093,-0.03520793344016575,1.0
no_class_weights,class weights OFF,5,0.9311054992905431,0.030016107996736072,0.8131188790012318,0.9296649067928919,0.9251819070823596,-0.001987286147438905,3.0
img320,input 320x320 instead of 224,5,0.939347393308886,0.02821660270788849,0.8624102024102024,0.8436228941740269,0.9326902358576566,0.006254607870904083,4.0
add_conflicting,18 conflicting-label images added to training,5,0.9419005295906345,0.027287071995263704,0.837237283119636,0.9069955442276324,0.9346709097840319,0.008807744152652442,3.0
