auc,sensitivity,specificity,balanced_acc,accuracy,tp,fn,tn,fp,best_epoch,epochs_run,val_fold,arch,experiment,minutes
0.9633418584825234,0.9411764705882353,0.855072463768116,0.8981244671781756,0.883495145631068,32,2,59,10,12,19,0,densenet121,add_conflicting,1.01
0.9223218096457533,0.8484848484848485,0.9014084507042254,0.8749466495945369,0.8846153846153846,28,5,64,7,5,12,1,densenet121,add_conflicting,0.67
0.9713615023474178,0.9,0.9436619718309859,0.921830985915493,0.9306930693069307,27,3,67,4,19,26,2,densenet121,add_conflicting,1.36
0.9065315315315315,0.8108108108108109,0.8888888888888888,0.8498498498498499,0.8623853211009175,30,7,64,8,18,25,3,densenet121,add_conflicting,1.29
0.945945945945946,0.6857142857142857,0.9459459459459459,0.8158301158301158,0.8623853211009175,24,11,70,4,19,26,4,densenet121,add_conflicting,1.33
0.9616368286445013,0.9705882352941176,0.6956521739130435,0.8331202046035806,0.7864077669902912,33,1,48,21,10,17,0,densenet121,baseline,0.89
0.9385403329065302,0.8787878787878788,0.9436619718309859,0.9112249253094323,0.9230769230769231,29,4,67,4,18,25,1,densenet121,baseline,1.21
0.9492957746478874,0.8333333333333334,0.971830985915493,0.9025821596244132,0.9306930693069307,25,5,69,2,12,19,2,densenet121,baseline,0.98
0.9132882882882883,0.7837837837837838,0.9444444444444444,0.8641141141141141,0.8899082568807339,29,8,68,4,22,29,3,densenet121,baseline,1.44
0.9027027027027027,0.6571428571428571,0.8918918918918919,0.7745173745173746,0.8165137614678899,23,12,66,8,16,23,4,densenet121,baseline,1.16
0.9791133844842286,1.0,0.8695652173913043,0.9347826086956521,0.912621359223301,34,0,60,9,19,26,0,densenet121,img320,2.23
0.9265898420827998,0.9090909090909091,0.7464788732394366,0.8277848911651728,0.7980769230769231,30,3,53,18,8,15,1,densenet121,img320,1.33
0.952112676056338,0.7666666666666667,0.9436619718309859,0.8551643192488263,0.8910891089108911,23,7,67,4,19,26,2,densenet121,img320,2.24
0.93506006006006,0.8648648648648649,0.8611111111111112,0.862987987987988,0.8623853211009175,32,5,62,10,11,18,3,densenet121,img320,1.58
0.9038610038610039,0.7714285714285715,0.7972972972972973,0.7843629343629344,0.7889908256880734,27,8,59,15,15,22,4,densenet121,img320,1.9
0.959931798806479,0.8235294117647058,0.927536231884058,0.8755328218243819,0.8932038834951457,28,6,64,5,11,18,0,densenet121,no_aug,0.91
0.9434485702091335,0.8181818181818182,0.9436619718309859,0.8809218950064021,0.9038461538461539,27,6,67,4,10,17,1,densenet121,no_aug,0.86
0.9234741784037559,0.8333333333333334,0.9295774647887324,0.8814553990610329,0.900990099009901,25,5,66,5,11,18,2,densenet121,no_aug,0.91
0.8506006006006006,0.6486486486486487,0.875,0.7618243243243243,0.7981651376146789,24,13,63,9,9,16,3,densenet121,no_aug,0.81
0.811969111969112,0.5714285714285714,0.9459459459459459,0.7586872586872586,0.8256880733944955,20,15,70,4,10,17,4,densenet121,no_aug,0.86
0.979539641943734,0.9411764705882353,0.9130434782608695,0.9271099744245523,0.9223300970873787,32,2,63,6,18,25,0,densenet121,no_class_weights,1.25
0.9048228766538625,0.8484848484848485,0.9014084507042254,0.8749466495945369,0.8846153846153846,28,5,64,7,17,24,1,densenet121,no_class_weights,1.22
0.9366197183098591,0.8666666666666667,0.9577464788732394,0.9122065727699531,0.9306930693069307,26,4,68,3,13,20,2,densenet121,no_class_weights,1.04
0.9260510510510511,0.8378378378378378,0.9166666666666666,0.8772522522522522,0.8899082568807339,31,6,66,6,14,21,3,densenet121,no_class_weights,1.06
0.9084942084942086,0.5714285714285714,0.9594594594594594,0.7654440154440154,0.8348623853211009,20,15,71,3,10,17,4,densenet121,no_class_weights,0.88
