rule,threshold,sensitivity,specificity,balanced_acc,tp,fn,tn,fp
default_0.5,0.5,0.8224852071005917,0.8907563025210085,0.8566207548108,139,30,318,39
youden,0.6623188,0.7810650887573964,0.9411764705882353,0.8611207796728159,132,37,336,21
sens_0.90,0.22458646,0.9053254437869822,0.7366946778711485,0.8210100608290654,153,16,263,94
sens_0.95,0.10008423,0.9526627218934911,0.5546218487394958,0.7536422853164935,161,8,198,159
