arch,n_folds,auc_mean,auc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,balanced_acc_mean,balanced_acc_std,pooled_oof_auc,mean_best_epoch,minutes_total
densenet121,5,0.9330927854379819,0.024610720587496932,0.8247272176683941,0.11622493218038708,0.8894962935991717,0.11215335836090762,0.8571117556337828,0.05577242174350405,0.9235493013773557,15.6,6.15
convnext_tiny,5,0.9277732241393493,0.03067325244345113,0.8139625186684011,0.1282770409532193,0.842467528765753,0.05520329404421343,0.828215023717077,0.043583592594374346,0.9025326106774071,23.8,8.61
efficientnet_b0,5,0.9109357917397972,0.03924513976387867,0.8330269306739895,0.07918029560067218,0.8231375128956268,0.04999732126356559,0.8280822217848082,0.04934592737384367,0.904886214840966,18.4,5.42
resnet50,5,0.9053357571497228,0.039305953146744316,0.7050202685496804,0.1426583778324125,0.9268154559948802,0.030827106802339466,0.8159178622722804,0.062097505048064085,0.9018861982662888,20.6,5.98
